ID_compra,filial,cidade,tipo_cliente,genero,tipo_produto,preco_unitario,quantidade,imposto_5%,total,data,hora,forma_pagamento,avaliacao
750-67-8428,A,Santo André,Membro,Feminino,Saúde e Beleza,74.69,7,26.1415,548.9715,1/5/2019,13:08,Carteira Digital,9.1
226-31-3081,C,São Caetano,Normal,Feminino,Eletrônicos,15.28,5,3.82,80.22,3/8/2019,10:29,Dinheiro,9.6
631-41-3108,A,Santo André,Normal,Masculino,Casa,46.33,7,16.2155,340.5255,3/3/2019,13:23,Cartão de Crédito,7.4
123-19-1176,A,Santo André,Membro,Masculino,Saúde e Beleza,58.22,8,23.288,489.048,1/27/2019,20:33,Carteira Digital,8.4
373-73-7910,A,Santo André,Normal,Masculino,Esportes e Viagem,86.31,7,30.2085,634.3785,2/8/2019,10:37,Carteira Digital,5.3
699-14-3026,C,São Caetano,Normal,Masculino,Eletrônicos,85.39,7,29.8865,627.6165,3/25/2019,18:30,Carteira Digital,4.1
355-53-5943,A,Santo André,Membro,Feminino,Eletrônicos,68.84,6,20.652,433.692,2/25/2019,14:36,Carteira Digital,5.8
315-22-5665,C,São Caetano,Normal,Feminino,Casa,73.56,10,36.78,772.38,2/24/2019,11:38,Carteira Digital,8.0
665-32-9167,A,Santo André,Membro,Feminino,Saúde e Beleza,36.26,2,3.626,76.146,1/10/2019,17:15,Cartão de Crédito,7.2
692-92-5582,B,São Bernardo do Campo,Membro,Feminino,Alimentos e Bebidas,54.84,3,8.226,172.746,2/20/2019,13:27,Cartão de Crédito,5.9
351-62-0822,B,São Bernardo do Campo,Membro,Feminino,Moda,14.48,4,2.896,60.816,2/6/2019,18:07,Carteira Digital,4.5
529-56-3974,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,25.51,4,5.102,107.142,3/9/2019,17:03,Dinheiro,6.8
365-64-0515,A,Santo André,Normal,Feminino,Eletrônicos,46.95,5,11.7375,246.4875,2/12/2019,10:25,Carteira Digital,7.1
252-56-2699,A,Santo André,Normal,Masculino,Alimentos e Bebidas,43.19,10,21.595,453.495,2/7/2019,16:48,Carteira Digital,8.2
829-34-3910,A,Santo André,Normal,Feminino,Saúde e Beleza,71.38,10,35.69,749.49,3/29/2019,19:21,Dinheiro,5.7
299-46-1805,B,São Bernardo do Campo,Membro,Feminino,Esportes e Viagem,93.72,6,28.116,590.436,1/15/2019,16:19,Dinheiro,4.5
656-95-9349,A,Santo André,Membro,Feminino,Saúde e Beleza,68.93,7,24.1255,506.6355,3/11/2019,11:03,Cartão de Crédito,4.6
765-26-6951,A,Santo André,Normal,Masculino,Esportes e Viagem,72.61,6,21.783,457.443,1/1/2019,10:39,Cartão de Crédito,6.9
329-62-1586,A,Santo André,Normal,Masculino,Alimentos e Bebidas,54.67,3,8.2005,172.2105,1/21/2019,18:00,Cartão de Crédito,8.6
319-50-3348,B,São Bernardo do Campo,Normal,Feminino,Casa,40.3,2,4.03,84.63,3/11/2019,15:30,Carteira Digital,4.4
300-71-4605,C,São Caetano,Membro,Masculino,Eletrônicos,86.04,5,21.51,451.71,2/25/2019,11:24,Carteira Digital,4.8
371-85-5789,B,São Bernardo do Campo,Normal,Masculino,Saúde e Beleza,87.98,3,13.197,277.137,3/5/2019,10:40,Carteira Digital,5.1
273-16-6619,B,São Bernardo do Campo,Normal,Masculino,Casa,33.2,2,3.32,69.72,3/15/2019,12:20,Cartão de Crédito,4.4
636-48-8204,A,Santo André,Normal,Masculino,Eletrônicos,34.56,5,8.64,181.44,2/17/2019,11:15,Carteira Digital,9.9
549-59-1358,A,Santo André,Membro,Masculino,Esportes e Viagem,88.63,3,13.2945,279.1845,3/2/2019,17:36,Carteira Digital,6.0
227-03-5010,A,Santo André,Membro,Feminino,Casa,52.59,8,21.036,441.756,3/22/2019,19:20,Cartão de Crédito,8.5
649-29-6775,B,São Bernardo do Campo,Normal,Masculino,Moda,33.52,1,1.676,35.196,2/8/2019,15:31,Dinheiro,6.7
189-17-4241,A,Santo André,Normal,Feminino,Moda,87.67,2,8.767,184.107,3/10/2019,12:17,Cartão de Crédito,7.7
145-94-9061,B,São Bernardo do Campo,Normal,Feminino,Alimentos e Bebidas,88.36,5,22.09,463.89,1/25/2019,19:48,Dinheiro,9.6
848-62-7243,A,Santo André,Normal,Masculino,Saúde e Beleza,24.89,9,11.2005,235.2105,3/15/2019,15:36,Dinheiro,7.4
871-79-8483,B,São Bernardo do Campo,Normal,Masculino,Moda,94.13,5,23.5325,494.1825,2/25/2019,19:39,Cartão de Crédito,4.8
149-71-6266,B,São Bernardo do Campo,Membro,Masculino,Esportes e Viagem,78.07,9,35.1315,737.7615,1/28/2019,12:43,Dinheiro,4.5
640-49-2076,B,São Bernardo do Campo,Normal,Masculino,Esportes e Viagem,83.78,8,33.512,703.752,1/10/2019,14:49,Dinheiro,5.1
595-11-5460,A,Santo André,Normal,Masculino,Saúde e Beleza,96.58,2,9.658,202.818,3/15/2019,10:12,Cartão de Crédito,5.1
183-56-6882,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,99.42,4,19.884,417.564,2/6/2019,10:42,Carteira Digital,7.5
232-16-2483,C,São Caetano,Membro,Feminino,Esportes e Viagem,68.12,1,3.406,71.526,1/7/2019,12:28,Carteira Digital,6.8
129-29-8530,A,Santo André,Membro,Masculino,Esportes e Viagem,62.62,5,15.655,328.755,3/10/2019,19:15,Carteira Digital,7.0
272-65-1806,A,Santo André,Normal,Feminino,Eletrônicos,60.88,9,27.396,575.316,1/15/2019,17:17,Carteira Digital,4.7
333-73-7901,C,São Caetano,Normal,Feminino,Saúde e Beleza,54.92,8,21.968,461.328,3/23/2019,13:24,Carteira Digital,7.6
777-82-7220,B,São Bernardo do Campo,Membro,Masculino,Casa,30.12,8,12.048,253.008,3/3/2019,13:01,Dinheiro,7.7
280-35-5823,B,São Bernardo do Campo,Membro,Feminino,Casa,86.72,1,4.336,91.056,1/17/2019,18:45,Carteira Digital,7.9
554-53-8700,C,São Caetano,Membro,Masculino,Casa,56.11,2,5.611,117.831,2/2/2019,10:11,Dinheiro,6.3
